"indicateur","region","Unit","Date","Value"
"Smal scale fishing production","North-West","tonne","2022","0"
"Smal scale fishing production","West","tonne","2019","0"
"Smal scale fishing production","West","tonne","2020","0"
"Smal scale fishing production","West","tonne","2021","0"
"Smal scale fishing production","West","tonne","2022","0"
"Smal scale fishing production","South","tonne","2019","24288.1649621645"
"Smal scale fishing production","South","tonne","2020","24373"
"Smal scale fishing production","South","tonne","2021","23991"
"Smal scale fishing production","South","tonne","2022","24754"
"Smal scale fishing production","South-West","tonne","2019","165827.552248484"
"Smal scale fishing production","South-West","tonne","2020","94329"
"Smal scale fishing production","South-West","tonne","2021","96390"
"Smal scale fishing production","South-West","tonne","2022","100495"
"Inland fishing production","Adamawa","tonne","2019","881.091"
"Inland fishing production","Adamawa","tonne","2020","1318.022"
"Inland fishing production","Adamawa","tonne","2021","1511.107"
"Inland fishing production","Adamawa","tonne","2022","1727.6955"
"Inland fishing production","Centre","tonne","2019","470.9"
"Inland fishing production","Centre","tonne","2020","1186.2"
"Inland fishing production","Centre","tonne","2021","1087.964"
"Inland fishing production","Centre","tonne","2022","1559.639"
"Inland fishing production","East","tonne","2019","3293.2754"
"Inland fishing production","East","tonne","2020","2282.9"
"Inland fishing production","East","tonne","2021","2454.496"
"Inland fishing production","East","tonne","2022","2505.729"
"Inland fishing production","Far North","tonne","2019","723.499"
"Inland fishing production","Far North","tonne","2020","1286.771"
"Inland fishing production","Far North","tonne","2021","1104.498"
"Inland fishing production","Far North","tonne","2022","2001.374"
"Inland fishing production","Littoral","tonne","2019","136.575"
"Inland fishing production","Littoral","tonne","2020","122.036"
"Inland fishing production","Littoral","tonne","2021","163.456"
"Inland fishing production","Littoral","tonne","2022","252.031"
"Inland fishing production","North","tonne","2019","22450.111"
"Inland fishing production","North","tonne","2020","9586.024"
"Inland fishing production","North","tonne","2021","8232.368"
"Inland fishing production","North","tonne","2022","8652.525"
"Inland fishing production","North-West","tonne","2019","15612"
"Inland fishing production","North-West","tonne","2020","8918"
"Inland fishing production","North-West","tonne","2021","5729"
"Inland fishing production","North-West","tonne","2022","5361"
"Inland fishing production","West","tonne","2019","1253.65"
"Inland fishing production","West","tonne","2020","1183.89"
"Inland fishing production","West","tonne","2021","1258.99"
"Inland fishing production","West","tonne","2022","1325.0965"
"Inland fishing production","South","tonne","2019","1107"
"Inland fishing production","South","tonne","2020","1258.1"
"Inland fishing production","South","tonne","2021","1987"
"Inland fishing production","South","tonne","2022","2059.458"
"Inland fishing production","South-West","tonne","2019","5.43"
"Inland fishing production","South-West","tonne","2020","84.4"
"Inland fishing production","South-West","tonne","2021","84"
"Inland fishing production","South-West","tonne","2022","123.42"
"Aquaculture production","Adamawa","tonne","2019","0"
"Aquaculture production","Adamawa","tonne","2020","46.21"
"Aquaculture production","Adamawa","tonne","2021","19.152"
"Aquaculture production","Adamawa","tonne","2022","20.261"
"Aquaculture production","Centre","tonne","2019","582.176"
"Aquaculture production","Centre","tonne","2020","556"
"Aquaculture production","Centre","tonne","2021","270.166"
"Aquaculture production","Centre","tonne","2022","245.94"
"Aquaculture production","East","tonne","2019","127.3251952"
"Aquaculture production","East","tonne","2020","154.777"
"Aquaculture production","East","tonne","2021","180.116"
"Aquaculture production","East","tonne","2022","148.868"
"Aquaculture production","Far North","tonne","2019","209.679"
"Aquaculture production","Far North","tonne","2020","163.391"
"Aquaculture production","Far North","tonne","2021","376.134"
"Aquaculture production","Far North","tonne","2022","739.71"
"Aquaculture production","Littoral","tonne","2019","405.49"
"Aquaculture production","Littoral","tonne","2020","269.43"
"Aquaculture production","Littoral","tonne","2021","998.936"
"Aquaculture production","Littoral","tonne","2022","951.236"
"Aquaculture production","North","tonne","2019","0"
"Aquaculture production","North","tonne","2020","0"
"Aquaculture production","North","tonne","2021","0"
"Aquaculture production","North","tonne","2022","0"
"Aquaculture production","North-West","tonne","2019","6065"
"Aquaculture production","North-West","tonne","2020","3416"
"Aquaculture production","North-West","tonne","2021","2681"
"Aquaculture production","North-West","tonne","2022","2715"
"Aquaculture production","West","tonne","2019","1174.503"
"Aquaculture production","West","tonne","2020","303.23"
"Aquaculture production","West","tonne","2021","1516.251"
"Aquaculture production","West","tonne","2022","691.6105"
"Aquaculture production","South","tonne","2019","412"
"Aquaculture production","South","tonne","2020","664.808"
"Aquaculture production","South","tonne","2021","2033"
"Aquaculture production","South","tonne","2022","2628"
"Aquaculture production","South-West","tonne","2019","102.02"
"Aquaculture production","South-West","tonne","2020","1243.065"
"Aquaculture production","South-West","tonne","2021","117.666"
"Aquaculture production","South-West","tonne","2022","83.64"
"Industrial fishing production","Adamawa","tonne","2019","0"
"Industrial fishing production","Adamawa","tonne","2020","0"
"Industrial fishing production","Adamawa","tonne","2021","0"
"Industrial fishing production","Adamawa","tonne","2022","0"
"Industrial fishing production","Centre","tonne","2019","0"
"Industrial fishing production","Centre","tonne","2020","0"
"Industrial fishing production","Centre","tonne","2021","0"
"Industrial fishing production","Centre","tonne","2022","0"
"Industrial fishing production","East","tonne","2019","0"
"Industrial fishing production","East","tonne","2020","0"
"Industrial fishing production","East","tonne","2021","0"
"Industrial fishing production","East","tonne","2022","0"
"Industrial fishing production","Far North","tonne","2019","0"
"Industrial fishing production","Far North","tonne","2020","0"
"Industrial fishing production","Far North","tonne","2021","0"
"Industrial fishing production","Far North","tonne","2022","0"
"Industrial fishing production","Littoral","tonne","2019","13709.8826666667"
"Industrial fishing production","Littoral","tonne","2020","10654.544"
"Industrial fishing production","Littoral","tonne","2021","12154.488"
"Industrial fishing production","Littoral","tonne","2022","14361.4786666667"
"Industrial fishing production","North","tonne","2019","0"
"Industrial fishing production","North","tonne","2020","0"
"Industrial fishing production","North","tonne","2021","0"
"Industrial fishing production","North","tonne","2022","0"
"Industrial fishing production","North-West","tonne","2019","0"
"Industrial fishing production","North-West","tonne","2020","0"
"Industrial fishing production","North-West","tonne","2021","0"
"Industrial fishing production","North-West","tonne","2022","0"
"Industrial fishing production","West","tonne","2019","0"
"Industrial fishing production","West","tonne","2020","0"
"Industrial fishing production","West","tonne","2021","0"
"Industrial fishing production","West","tonne","2022","0"
"Industrial fishing production","South","tonne","2019","0"
"Industrial fishing production","South","tonne","2020","0"
"Industrial fishing production","South","tonne","2021","0"
"Industrial fishing production","South","tonne","2022","0"
"Industrial fishing production","South-West","tonne","2019","468.733333333333"
"Industrial fishing production","South-West","tonne","2020","173.386666666667"
"Industrial fishing production","South-West","tonne","2021","138.466666666667"
"Industrial fishing production","South-West","tonne","2022","567.733333333333"
